target,texts
1,"People who likes to take selfies would love this place. So many photo spots here. Dont ever go here alone, you will need a photographer for yourself"
0,"this place is not well maintain, dust everywhere. "
1,"One stop amusement park, family friendly and everybody is happy.  "
1,Good place to take your kids but the way to get there is a bit difficult and has lots of traffic.
1,The place is refreshing and the concept is good
1,Doing activities outdoors is so nice but needy to remain not suitable for the golden age plus if not wara work cars. 
1,We had a blast at dago dreampark The staff were suuuupppeeerrr nice Highly recommend coming here during the mornings so there aren’t many people.
0,I DO NOT RECOMMEND THIS PLACE FOR FOREIGNERS.  
1,This place is start to rising up after pandemic effect.
1,The place is incredibly great with really exotic scenery
1,"Great place for kids activities, came here early morning, fresh air was so nice.  Dont think have grab gocar option from here to city, i rented a car."
0,"Ticketing system was terrible and only catered to small sections of the park per booth (each games' tickets are purchased separately, no bundle tickets)."
1,It's an okay place for refreshing despite the entrance cost for 40k
1,"Really maintained very well, you can have a great fun  "
1,This place are quite nice for relaxing and refreshing
1,"Large, natural, landscape-shaped theme park."
1,Went here with my family and it was a nice choise btw. 
0,Not suggested for walk along elderly unless you rent a car or drive your private car here
1,"100% family fun  outdoor entertainment, nature's best scenery and great way to burn calories  "
1,"We visited on weekday, so all the park was for ourselves It was great. "
1,Love it  If you looking for nature environment here is the place  
0,Another instagram prank
1,Great place when you go here make sure your camera or your phone is good to take pict.
1,cute place that super worth to visit if you love lord of the ring. 
1,Unforgettable experience. 
1,Good for kids experiences
1,"New icon in North Bandung,  instagramable,  many unique spot and beautiful view with fresh air  "
1,The one recommended place for sightseeing in north bandung
1,Love place
1,Superb place to satisfy your instagram needs. 
1,Beautiful place to spent time with family and friends. It open at 8am & close at 10pm.
1,Lovely place  So much fun Many good spot to take pictures 
1,Pretty impressive with Hobbit looks alike village
1,Welcome to the new adventures.
0,"Just another inmitations .well if u hav nothing much to do, just dropby."
1,You can take pictures every side. All of them are beautiful. Your family will love it.
1,A place to take some photos with set looks like Hobbit. You need to pay 20k to enter after paying 25k to enter Farmhouse
1,Ok
1,"Nice place yet can be more organized, especially parking lot."
1,Just so so little attraction with so many photo spots 
1,Just like NZ 
1,Love this place
1,Having Fun 
1,good place
1,"It's a great place in lembang, bandung, west java"
1,Nice place to spend time with family
1,So beautiful place.
1,Nice photo spot
1,Nice place to be visited
1,Good place
1,Recomnded place
1,Located in the Lembang farm house where family tours can take photos and petting small amimal. 
1,"Tourist attractions are suitable for families, as well as children can get to know pets such as rabbits etc  the place is cool, comfortable"
1,"It's cool to take photos with your family on April 25, 2023, the ticket price is 30 thousand, but they are offered a new ride, a 6-row slide, so the ticket is 55 thousand"
1,"The place is comfortable and beautiful, the arrangement is good with minimal land. Ticket price 20 rb already got milk pie. "
1,A recreation area that presents a variety of charms of natural beauty combined with modern knick-knacks. 
1,It is in the Lembang Milk Farmhouse.
1,"The concept is very good for family activities and children, there is a petting zoo where children can interact directly with fauna such as doba, iguana, cow, rabbit etc. "
1,A good and complete tourist spot  there are animals   flowers   interesting photo spots  
1,"The design of the place is made of wood and is made like the house of the dwarves and is intended for taking photos,"
1,Honestly it was beautiful place and have beautiful scenery and fresh air.  
1,Hidden gem in west Bandung. Cheap entrance fee. Fresh air and nice view. 
1,Feel the Sensasion of Stone Age here. Safe for children to hike.
1,You know this is the hidden gem of bandung barat   
1,"Nice view, nice landscape."
1,"So mesmerize, great view Located on padalarang area. "
1,Beautiful geopark with plenty of spots for taking pictures. 
0,4 stars because of the views and the fact that you don't have to travel too far away from the city to experience a feeling of space. 
0,You have to do a little hiking to get to the top from the parking area. 
1,A great place if you're in the mood to hike with friends or family. 
1,Good scenery and there are a lot of spot for photography and also good for you who want to take a foto for your prewedding foto session. 
1,This place has a beautiful view and certainly instagramable. It can even be used as a pre-wedding photo place.
1,"You will love this place if you love trekking, feeling the breeze on your face, and sight seeing from the top of the hill. "
1,I highly recommended to go to this destination.
1,Visit on August 2019. Entrance fee 8.000 for each person. The place is good for family gathering. But watchout for kids. 
1,Beautiful scenery yet we need an effort to climb and you gotta be careful because there are many big vehicles along the way. 
1,Beautiful “hidden” place 
1,"Thanks to the stone garden and all the attractions in the limestone mountains, such as Mount Hawu, Pawon Cave, and the managers of both the local residents and the rock climbing community of Masigit Mountains, who have made a good contribution to West Java tourism. "
1,"Great geopark, beautiful karst, trace fossil, outdoor activities, try to climb to puncak  panyawangan then see the beautiful landscape around there, "
0,"Not a big place, "
1,"cool rocky hill for selfie. It took at least 3 hours to be there, because a lot of cool spots. who take children, should be noted because many sharp stones. "
1,"Natural & full of adventure.  No need to book hammock service,  they are always available there."
1,Best place to see  sunset  beautiful thousand of stones  in the early morning there is a lot of monkey long tail  I went rhere for the sunrise  I arrived at 5 am  
1,"I was getting another experience by tracking this stone hill. And finally, my tired journey was worthy paid at the top."
1,Natural stone arrange by nature
1,37 million years ago this area was ocean. There was a cave below this area it was called pawon cave. 
1,"One of Geopark in Kabupaten Bandung, closed at 5 PM. "
1,Better come verr early or late afternoon 
1,"finally come to this place,. great rocky view from highland  entry gate village 10K  entry ticket 8K  parking 7K"
1,Cant make it to the place  
0,"The bird keeper is violence to birds, especially the blue macaw keeper. "
0,Poor birds 💔  
0,Too expensive if weekend not worth it
0,Isn't bird suppose to fly freely? 
0,Not operational
1,Nice place
0,"It's not being maintained right now, it's cramped and small, the guard above who showed the parrots is also ignorant"
0,"The suffering of the animals, the cages that are too small, the birds in chains"
0,dissapointed
0,"Disappointed yesterday, I came a long way there, "
0,Sudden inspection of cluster construction that has been stalled for 3 years  just the foundation
0,The cages are not taken care of and the bird pavilion staff are not polite 
0,Closed for now (ppkm)
0,"Not worth the visit, the entry ticket is expensive. "
0,"Not satisfied, because there was no bird show, even though we came from Surabaya."
0,"It smells and is small, and the prices are high. It is not worth the visit"
0,not updating
0,"The birds collection is not completed yet,"
0,Just a small place
0,"It's not as interesting as it used to be, tickets are expensive,"
0,"The location is still in a housing complex. The situation is not maintained. 
"
0,"Last time I was here, the atmosphere was not well maintained. "
0,"Coming the second time was quite disappointing, where a lot of birds were trimmed because there was a construction project for townhouses, "
0,"The ticket price is too expensive inside B, there's no wow at all, if you want to take a photo with a bird, you have to have food, you can buy it at the entrance, "
0,Tourist attractions are far from the city  . the entrance fee is 50 thousand per person
0,"At first, it was open, okay, now it's declining, the food just has mattress threads"
0,It's fun to feed the birds
0,The entrance fee is higher than my cholesterol and every attraction inside will ask you for more money. 
0,"Entrance fee 60k per person with food. Run down , not maintaining well. "
0,There is only a small place with couple of low maintenance rabbit. 
1,"The place is quite nice, many spots to take a pic for instagram."
0,Why they still post under the name Rabbit Town when there is no rabbit at all 
0,Amazingly waste of time to visit  
0,Bought food for entrance tickect. The food taste was horrible. 
0,overpriced and overrated.
0,I already know this is a shameless ripoff that gave birth to “selfie tourism” so my expectations is pretty low.
0,"Foodcourt payment system is awkward and not completely ready,"
0,This “selfie tour” museum just plagiarized the work of other well known artists around the world for their own monetary gain
0,"Really bad place to spend your money, it charges you Rp32,000 just for an entry to a place where you can see rabbits (can do it at a pet shop for free), "
0,If you're a tourist just don't go here. 
0,It's a shame to say this but this place is a complete rip-off from other places museums such as the LA County Museum of Art and the Museum of Ice Cream. 
0,Plagiarism shouldn't be encouraged. Just a unique place for narcissists and insecure people to take selfies.
0,All the animals are overweight being given too many food and no space to move around. 
0,"I really don't appreciate plagiarism, and to give good rating will be an encouragement. "
0,Paid 65k just to go around. 
0,not recommended . 
0,"A tourist trap with many rip-off art installations from around the world, without any permit from the artist. What a shame."
0,Not recommended for hang out but its nice place and clean except the monkey  cages  Stinky
0,Fake fake fake. 
0,"Deluded copycat , 25k    for copying others work of arts . Stupid ."
0,"This ""selfie tourism"" is full of plagiarised artworks "
0,A little bit pricy and it is only for photos not worth it and not recommended
0,Small chamber for selfy with too expensive price in Bandung only
0,The worst payment system ever  they are not ready to open yet  
0,I DO NOT RECOMMEND THIS PLACE FOR FOREIGNERS. 
0,Just a small place
0,"It's not as interesting as it used to be, tickets are expensive,"
0,"The location is still in a housing complex. The situation is not maintained. 
"
0,"Last time I was here, the atmosphere was not well maintained. "
0,"Coming the second time was quite disappointing, where a lot of birds were trimmed because there was a construction project for townhouses, "
0,"The ticket price is too expensive inside B, there's no wow at all, if you want to take a photo with a bird, you have to have food, you can buy it at the entrance, "
0,Tourist attractions are far from the city  . the entrance fee is 50 thousand per person
0,"At first, it was open, okay, now it's declining, the food just has mattress threads"
0,It's fun to feed the birds
0,The entrance fee is higher than my cholesterol and every attraction inside will ask you for more money. 
0,"Entrance fee 60k per person with food. Run down , not maintaining well. "
